source,target,color
60769,62080,0
60769,63294,0
60769,65587,0
60769,65603,0
60769,65606,0
60769,66643,0
60769,66655,0
60769,70870,0
60769,70888,0
60769,75205,0
60769,77380,0
60769,59656,4
60769,63278,0
60769,68769,0
60769,70871,0
60769,73156,16
60769,74231,16
60769,82156,20
60769,82157,20
60769,82173,20
60769,60720,0
60769,63311,0
60769,63326,0
60769,64390,0
60769,64407,0
60769,70879,0
60769,74164,0
60769,80253,0
60769,81230,0
60769,60721,0
60769,62097,0
60769,67638,0
60769,60740,0
60769,63310,0
60769,69861,22
60769,60768,0
60769,65569,0
60769,66644,0
60769,65604,0
60769,68669,0
60769,68696,0
60769,80216,20
60769,81206,20
60769,81210,20
60769,81218,20
60769,81223,20
60769,64388,0
60769,63280,0
60769,63295,0
60778,62068,0
60778,62081,0
60778,62083,0
60778,62084,0
60778,63264,0
60778,58509,4
60778,60755,0
60778,60753,0
60778,62069,0
60778,62082,0
60778,62080,0
60778,63278,0
60778,62095,0
60778,63292,0
60778,63308,0
60778,64390,0
60778,60765,0
60778,63310,0
60778,62099,0
60778,63312,0
60778,64422,0
60778,65588,0
60778,65569,0
60778,63293,0
60778,62096,0
60778,66630,3
60778,67654,3
60778,64421,0
60778,65551,0
60778,65570,0
60778,63280,0
60778,63295,0
60778,83065,18
60778,66631,3
60778,67655,3
60778,82112,18
62003,63233,4
62003,60751,4
62003,62067,4
62003,59604,4
62003,59625,4
62003,60737,4
62003,62066,4
62003,194888,10
62003,194889,10
62003,195954,10
62003,195953,10
62003,195966,10
62012,63264,4
62012,60751,4
62012,60752,4
62012,62067,4
62012,59581,4
62012,60738,4
62012,59590,4
62012,59604,4
62012,59625,4
62012,59656,4
62012,62079,4
62012,64390,4
62012,60737,4
62012,60765,4
62012,62066,4
62012,63280,4
62024,60751,4
62024,60752,4
62024,62067,4
62024,60738,4
62024,59590,4
62024,59604,4
62024,59625,4
62024,62079,4
62024,60737,4
62024,60765,4
62024,62066,4
62042,63264,4
62042,58509,4
62042,60751,4
62042,62067,4
62042,59604,4
62042,59625,4
62042,60737,4
62042,62066,4
62042,63280,4
62056,62068,0
62056,62083,0
62056,62084,0
62056,63264,0
62056,64359,4
62056,60739,0
62056,60752,4
62056,62067,4
62056,60738,4
62056,59590,4
62056,60754,4
62056,60757,0
62056,60779,0
62056,62055,0
62056,62069,0
62056,62082,0
62056,62098,0
62056,63325,0
62056,59650,0
62056,62080,0
62056,63294,0
62056,65603,0
62056,59656,4
62056,63278,0
62056,62095,0
62056,63292,0
62056,60720,0
62056,63311,0
62056,63326,0
62056,64390,0
62056,64407,0
62056,80253,0
62056,60721,0
62056,62097,0
62056,60740,0
62056,63310,0
62056,60768,0
62056,62099,0
62056,62112,0
62056,64406,0
62056,65569,0
62056,73111,16
62056,62096,0
62056,62110,0
62056,63309,0
62056,63324,0
62056,72086,16
62056,72107,16
62056,65551,0
62056,65570,0
62056,63280,0
62056,63295,0
62056,66619,3
62056,67646,3
62056,66631,3
62056,67655,3
62068,62070,0
62068,63264,0
62068,60739,0
62068,58509,4
62068,60755,0
62068,60738,4
62068,60753,0
62068,60757,0
62068,60779,0
62068,62055,0
62068,62069,0
62068,62082,0
62068,76353,0
62068,59650,0
62068,62080,0
62068,63294,0
62068,77380,0
62068,59656,4
62068,63278,0
62068,60720,0
62068,64390,0
62068,64407,0
62068,80235,0
62068,80253,0
62068,60721,0
62068,62097,0
62068,60740,0
62068,73082,0
62068,60768,0
62068,64406,0
62068,64422,0
62068,65588,0
62068,60756,0
62068,66630,3
62068,67654,3
62068,67666,3
62068,68731,3
62068,68732,3
62068,64388,0
62068,63280,0
62068,63295,0
62068,82158,0
62068,83108,0
62068,83107,0
62070,62083,0
62070,62084,0
62070,64359,4
62070,60739,0
62070,58509,4
62070,60751,4
62070,60752,4
62070,62067,4
62070,60754,4
62070,60779,0
62070,62055,0
62070,62069,0
62070,62082,0
62070,62098,0
62070,63325,0
62070,59650,0
62070,62080,0
62070,65603,0
62070,59656,4
62070,63278,0
62070,62095,0
62070,63292,0
62070,60720,0
62070,63308,0
62070,63311,0
62070,63326,0
62070,64390,0
62070,80253,0
62070,60721,0
62070,60737,4
62070,62097,0
62070,60740,0
62070,63310,0
62070,60768,0
62070,62099,0
62070,62112,0
62070,73111,16
62070,62096,0
62070,62110,0
62070,63309,0
62070,63324,0
62070,72086,16
62070,72107,16
62070,73134,16
62070,62066,4
62070,65551,0
62070,63295,0
62070,84093,20
62070,84030,0
62070,84977,20
62081,62083,0
62081,62084,0
62081,64359,4
62081,60751,4
62081,62067,4
62081,60738,4
62081,59604,4
62081,59625,4
62081,60754,4
62081,60779,0
62081,62055,0
62081,62069,0
62081,62082,0
62081,62098,0
62081,63279,0
62081,62080,0
62081,63294,0
62081,59656,4
62081,63278,0
62081,75278,0
62081,63308,0
62081,63311,0
62081,63326,0
62081,64390,0
62081,64407,0
62081,64437,0
62081,66629,0
62081,75308,0
62081,60737,4
62081,62097,0
62081,63310,0
62081,76385,4
62081,60768,0
62081,62099,0
62081,62112,0
62081,63291,0
62081,63312,0
62081,64406,0
62081,64422,0
62081,65588,0
62081,78412,4
62081,79311,4
62081,79324,4
62081,63293,0
62081,62096,0
62081,62066,4
62081,64388,0
62081,65551,0
62081,63295,0
62083,62084,0
62083,63264,0
62083,60739,0
62083,58509,4
62083,60755,0
62083,62067,4
62083,60738,4
62083,75294,0
62083,60753,0
62083,60757,0
62083,60779,0
62083,62055,0
62083,62069,0
62083,62082,0
62083,62098,0
62083,64378,0
62083,63279,0
62083,73135,0
62083,76353,0
62083,77395,0
62083,59650,0
62083,62080,0
62083,63294,0
62083,68679,0
62083,69858,0
62083,59656,4
62083,59657,0
62083,63278,0
62083,62079,0
62083,62095,0
62083,63292,0
62083,60720,0
62083,63308,0
62083,63311,0
62083,64390,0
62083,64407,0
62083,74164,0
62083,75246,0
62083,80286,0
62083,82096,0
62083,60721,0
62083,60765,0
62083,62097,0
62083,67638,0
62083,60740,0
62083,63310,0
62083,60768,0
62083,62099,0
62083,62112,0
62083,63291,0
62083,63312,0
62083,64406,0
62083,64422,0
62083,65588,0
62083,60756,0
62083,62078,0
62083,65569,0
62083,66644,0
62083,63293,0
62083,62096,0
62083,62110,0
62083,63309,0
62083,63324,0
62083,62111,0
62083,64388,0
62083,64421,0
62083,68750,0
62083,69857,0
62083,71018,0
62083,71042,0
62083,72059,0
62083,79323,0
62083,80285,0
62083,80287,0
62083,83044,0
62083,83057,0
62083,63280,0
62083,63295,0
62084,63264,0
62084,60739,0
62084,60742,0
62084,60755,0
62084,60738,4
62084,60741,0
62084,60753,0
62084,60757,0
62084,60779,0
62084,62055,0
62084,62069,0
62084,62082,0
62084,64378,0
62084,76353,0
62084,59650,0
62084,62080,0
62084,63294,0
62084,77380,0
62084,59656,4
62084,59657,0
62084,63278,0
62084,62079,0
62084,62095,0
62084,63292,0
62084,63308,0
62084,64390,0
62084,64407,0
62084,77409,16
62084,80235,0
62084,80253,0
62084,60765,0
62084,62097,0
62084,60740,0
62084,63310,0
62084,60768,0
62084,62099,0
62084,63312,0
62084,64406,0
62084,64422,0
62084,65588,0
62084,60756,0
62084,62078,0
62084,63293,0
62084,62096,0
62084,66630,3
62084,67654,3
62084,67666,3
62084,68731,3
62084,68732,3
62084,63280,0
62084,63295,0
62084,77396,16
63233,63264,4
63233,60751,4
63233,62067,4
63233,59581,4
63233,60738,4
63233,59590,4
63233,59604,4
63233,59625,4
63233,62054,4
63233,59656,4
63233,62079,4
63233,64390,4
63233,60737,4
63233,60765,4
63233,62078,4
63233,62066,4
63233,63280,4
63264,60739,0
63264,60742,0
63264,60755,0
63264,60751,4
63264,60752,4
63264,62067,4
63264,60738,4
63264,59590,4
63264,63242,4
63264,60741,0
63264,60754,4
63264,60757,0
63264,60779,0
63264,62055,0
63264,62069,0
63264,62082,0
63264,62098,0
63264,63263,4
63264,65507,4
63264,65550,0
63264,63279,0
63264,63325,0
63264,66618,0
63264,59650,0
63264,62080,0
63264,63294,0
63264,65603,0
63264,68679,0
63264,59656,4
63264,63278,0
63264,62095,0
63264,63292,0
63264,60720,0
63264,63307,0
63264,63308,0
63264,63311,0
63264,63322,0
63264,63323,0
63264,63326,0
63264,64390,0
63264,64407,0
63264,64420,0
63264,66610,0
63264,66629,0
63264,70879,0
63264,75308,0
63264,76401,0
63264,60721,0
63264,62097,0
63264,60740,0
63264,63310,0
63264,60768,0
63264,62099,0
63264,62112,0
63264,63291,0
63264,64406,0
63264,60756,0
63264,63277,0
63264,65569,0
63264,74214,0
63264,74215,0
63264,63293,0
63264,65536,0
63264,74130,0
63264,62096,0
63264,62110,0
63264,63309,0
63264,63324,0
63264,62066,4
63264,62111,0
63264,64388,0
63264,64389,0
63264,64405,0
63264,65551,0
63264,65570,0
63264,71976,0
63264,73033,0
63264,64433,0
63264,65585,0
63264,66641,0
63264,63280,0
63264,63295,0
63264,66619,3
63264,67646,3
63264,66631,3
63264,67655,3
64359,60751,4
64359,62067,4
64359,196975,10
64359,59604,4
64359,59625,4
64359,62054,4
64359,60753,4
64359,62055,4
64359,64378,4
64359,62080,4
64359,59657,4
64359,62079,4
64359,60737,4
64359,60765,4
64359,63251,4
64359,62078,4
64359,63277,4
64359,62066,4
64359,63262,4
64359,63276,4
64359,64388,4
64359,64389,4
64359,196970,10
64359,196976,10
64359,198003,10
64359,198004,10
64359,198015,10
64359,198016,10
64359,199079,10
64359,199080,10
66593,64378,4
66593,65550,4
66593,68679,11
66593,70870,11
66593,69780,11
66593,70860,11
66593,62078,4
66593,64388,4
66593,66586,11
66594,66603,11
66594,64378,4
66594,65550,4
66594,62078,4
66594,64388,4
66594,66586,11
66653,67622,0
66653,75294,0
66653,63278,0
66653,68769,3
66653,65536,0
66653,65604,0
66653,68750,3
66653,65585,0
66653,63295,0
66653,64453,3
66653,65621,3
66653,65640,3
66653,66668,3
66653,66669,3
66653,68730,3
66653,68751,3
66653,65619,3
66653,67677,3
66653,67691,3
66653,66665,3
66653,66677,3
66653,67703,3
67621,67665,0
67621,64378,0
67621,65550,0
67621,60720,0
67621,60721,0
67621,60740,0
67621,60768,0
67621,65536,0
67621,64388,0
67621,66641,0
67621,66586,11
67621,210886,13
67621,211710,13
67665,67622,0
67665,67630,0
67665,69828,0
67665,75294,0
67665,65587,0
67665,65603,0
67665,65606,0
67665,66643,0
67665,66655,0
67665,68679,0
67665,69858,0
67665,69871,0
67665,63278,0
67665,68769,0
67665,60720,0
67665,63307,0
67665,63322,0
67665,63323,0
67665,64390,0
67665,64420,0
67665,66610,0
67665,60721,0
67665,67638,0
67665,60740,0
67665,65569,0
67665,66644,0
67665,65536,0
67665,65604,0
67665,68696,0
67665,67690,0
67665,63309,0
67665,63324,0
67665,64405,0
67665,65551,0
67665,64433,0
67665,65585,0
67665,66641,0
67665,64434,0
67665,65567,0
67665,63295,0
67665,64453,0
67665,64454,0
67665,65621,11
67665,65622,0
67665,65640,11
67665,66654,0
67665,66668,11
67665,68751,11
67665,66642,0
67665,64451,0
67665,64452,0
67665,67677,11
67676,63278,0
67676,69841,3
67676,65536,0
67676,65604,0
67676,68750,3
67676,63295,0
67676,66669,3
67676,68729,3
67676,68730,3
67676,65619,3
67676,67677,3
67676,67691,3
67676,66665,3
67676,66677,3
67676,67703,3
76241,62080,0
76241,62095,0
76241,63292,0
76241,63308,0
76241,74232,16
76241,73157,16
76241,74196,16
76241,75328,16
76241,62096,0
76241,74233,16
76241,75329,16
76241,74112,11
76241,75192,11
76241,75193,11
76241,74092,11
76241,74103,11
76241,75171,11
76241,75181,11
76241,75166,11
76241,75172,11
81208,80276,20
81208,82184,20
81208,83136,20
81208,80288,20
81208,82185,20
81208,80280,20
81208,80289,20
81208,81245,20
81208,81246,20
81209,80276,20
81209,79298,20
81209,82184,20
81209,83136,20
81209,80288,20
81209,82185,20
81209,80280,20
81209,80289,20
81209,81245,20
81209,81246,20
81243,58509,4
81243,60755,16
81243,76400,16
81243,78408,16
81243,74195,16
81243,75294,16
81243,79286,16
81243,70903,22
81243,83131,18
81243,73094,16
81243,71927,18
81243,72998,18
81243,77409,16
81243,78364,16
81243,78396,16
81243,82184,18
81243,74214,16
81243,76370,16
81243,76382,16
81243,77408,16
81243,71018,22
81243,71042,22
81243,78374,16
81243,70914,22
81243,70930,22
81243,71041,22
81243,82183,20
81243,74082,18
81243,68714,22
81243,80277,16
81243,71016,16
81243,69872,18
81243,69947,22
81243,69948,22
81243,69968,22
81243,70997,22
81243,70998,22
81243,69819,18
81243,69859,18
81243,79320,16
81243,70999,22
81243,72003,22
81243,72014,22
81243,79310,16
81243,83132,18
81243,83134,18
81243,81245,18
81243,81246,18
59649,60755,4
60739,60742,0
60739,60755,0
60739,70880,0
60739,60741,0
60739,73136,0
60739,74195,0
60739,80276,0
60739,60757,0
60739,60779,0
60739,62055,0
60739,62069,0
60739,62082,0
60739,62098,0
60739,63279,0
60739,76353,0
60739,77382,0
60739,62080,0
60739,63294,0
60739,65587,0
60739,65603,0
60739,65606,0
60739,66643,0
60739,66655,0
60739,68679,0
60739,69858,0
60739,69871,0
60739,70870,0
60739,70888,0
60739,73083,0
60739,74176,0
60739,75205,0
60739,77380,0
60739,77381,0
60739,77397,0
60739,79298,0
60739,80267,0
60739,80268,0
60739,80269,0
60739,81244,0
60739,84104,0
60739,84105,0
60739,201168,0
60739,64390,0
60739,60768,0
60739,60756,0
60739,65551,0
60739,63280,0
60742,60738,4
60742,59630,0
60742,60757,0
60742,62055,0
60742,62069,0
60742,63325,0
60742,81219,0
60742,59650,0
60742,62080,0
60742,59656,4
60742,75278,0
60742,60720,0
60742,63326,0
60742,64390,0
60742,70861,0
60742,72998,0
60742,80235,0
60742,80253,0
60742,60721,0
60742,60740,0
60742,63310,0
60742,82184,18
60742,83136,0
60742,65569,0
60742,65570,0
60742,63280,0
60755,70880,0
60755,60751,4
60755,62067,4
60755,60738,4
60755,60741,0
60755,60779,0
60755,62055,0
