id,extid,group,bridgeness,influence,degree,x,y,z
251,78396,16,8.14845,131,138,-27.5782,6.6805,76.1391
252,78410,16,1.12643,67,68,-28.0416,8.9931,76.2329
253,79275,18,6.38558,13,21,-27.8884,7.8457,78.5365
254,79322,16,0.04014,40,40,-27.9962,9.8998,76.2865
255,80235,0,15.71953,9,31,-28.3438,9.8805,78.7598
256,80253,0,23.73969,15,47,-28.0244,9.8076,78.2302
257,80286,16,18.91577,25,47,-28.1712,10.7335,76.3065
258,81230,18,13.30850,21,35,-27.9362,9.7347,76.8662
259,81231,18,15.46661,23,41,-28.0441,10.6434,76.5516
260,82096,0,6.14796,10,20,-29.2047,11.8831,80.4013
261,83135,20,2.15662,4,7,-30.7236,14.1695,76.1438
262,84972,12,3.17706,26,29,-32.0558,15.1864,76.2123
263,84973,20,11.23190,17,29,-32.7189,15.1906,76.2595
264,85910,12,10.69452,29,39,-32.8456,15.3689,76.5064
265,60721,0,14.65438,86,97,-18.8942,-5.0658,88.3414
266,60737,4,0.03914,39,39,-15.5188,-5.3008,86.2066
267,60765,0,25.70858,66,92,-15.8655,-4.9152,84.8922
268,62097,0,13.79162,52,63,-16.2172,-4.2637,84.145
269,63251,4,0.09026,15,15,-15.4825,-3.5414,86.0735
270,63252,4,4.30803,8,15,-15.4737,-4.3017,86.6122
271,67638,3,28.04441,40,70,-15.5558,-0.23628,85.6672
272,70953,22,29.05933,16,54,-26.439,4.0516,78.4243
273,60740,0,17.71729,106,122,-17.9284,-5.128,87.3912
274,63310,0,8.12169,79,85,-16.7398,-3.4453,84.0124
275,69860,7,27.75301,25,58,-25.3321,2.8222,80.7786
276,69861,22,22.40836,37,61,-26.1821,3.3259,80.6608
277,73082,22,22.27376,34,65,-27.1326,5.8015,77.1359
278,74232,16,15.22425,87,97,-25.3266,4.7009,74.8628
279,76371,16,8.37310,14,23,-28.3231,8.3147,77.196
280,76385,16,6.45813,28,34,-28.268,8.5379,76.9856
281,82184,18,11.72071,18,38,-30.4623,13.7311,76.2707
282,83136,20,2.13924,11,13,-31.3651,14.4602,76.3204
283,60768,0,30.77219,78,104,-17.005,-4.4575,85.0821
284,62099,0,3.12218,78,79,-16.9246,-3.6917,84.314
285,62112,0,5.07680,63,68,-16.2464,-3.604,83.6065
286,63291,0,0.04615,33,33,-15.276,-3.5721,84.0841
287,63312,0,9.04100,76,82,-17.3031,-2.7718,84.7667
288,64406,0,0.06021,60,60,-17.6619,-1.9985,85.6514
289,64422,0,0.06222,62,62,-17.3533,-2.2532,85.0173
290,65588,0,0.06222,62,62,-17.1388,-1.3328,84.9885
291,78412,16,3.94938,31,35,-28.0712,10.2812,76.7506
292,79311,16,4.99541,27,32,-28.3715,11.1143,76.9199
293,79324,16,5.15380,49,54,-28.1963,10.8843,76.6913
294,60756,0,33.95049,48,84,-17.7564,-4.4437,86.1508
295,62078,0,16.42887,39,57,-15.4369,-4.0693,84.6911
296,63277,0,4.65533,18,21,-15.309,-3.6666,84.8162
297,65569,0,24.95881,66,94,-17.4313,-0.81783,85.5701
298,66644,0,20.84497,42,70,-17.0793,-0.066746,84.8025
299,67653,0,4.10563,28,32,-14.7434,-0.33757,83.8897
300,68697,3,31.20888,76,112,-17.702,1.4038,85.4083
301,68711,3,0.04917,49,49,-17.6448,1.6669,85.0249
302,68712,3,27.96444,56,93,-18.1845,2.5622,84.7255
303,69804,3,4.07831,23,27,-15.3333,1.0512,84.6485
304,69816,3,5.23772,18,22,-15.196,1.1719,83.9592
305,72060,16,5.96482,50,52,-26.4214,4.9615,75.775
306,72087,16,33.74557,71,112,-26.1114,4.7894,75.4332
307,73111,16,4.44554,72,74,-26.5786,5.2486,75.8018
308,73157,16,7.44551,92,95,-25.6965,4.6815,75.0377
309,73158,16,12.12069,62,71,-26.311,4.9937,75.4534
310,74214,16,12.23900,57,69,-26.8034,5.5398,75.6457
311,74215,16,36.95590,55,93,-27.1687,6.0848,75.8813
312,74234,16,12.39244,71,80,-26.383,5.2334,75.621
313,76370,16,11.39083,31,42,-24.899,4.5709,76.1788
314,76382,16,22.39089,29,63,-23.8908,4.6951,75.4706
315,77408,16,11.38919,77,86,-26.0143,4.9965,76.0844
